,orig_nq,reused_nq,active_nq,orig_ncx,sab,ru+sab,ru+mp+sab,ru+mp+rt,ha,fsqm
4gt11_83,5.0,2.0,3.0,14.0,3.3,0.0,0.0,0.0,,6.0
4gt11_84,4.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,,0.0
4gt13_92,5.0,0.0,5.0,30.0,2.1,1.8,0.0,0.0,,0.0
4mod5-bdd_287,7.0,3.0,4.0,31.0,12.9,6.0,0.0,0.0,,15.0
4mod5-v0_18,5.0,1.0,4.0,31.0,14.4,7.8,0.0,0.0,,21.0
4mod5-v0_19,5.0,2.0,3.0,16.0,5.4,0.0,0.0,0.0,,0.0
4mod5-v0_20,5.0,2.0,3.0,10.0,0.3,0.0,0.0,0.0,,0.0
4mod5-v1_22,5.0,2.0,3.0,11.0,1.2,0.0,0.0,0.0,,0.0
4mod5-v1_23,5.0,1.0,4.0,32.0,14.7,13.8,0.0,0.0,,18.0
4mod5-v1_24,5.0,1.0,4.0,16.0,3.0,0.0,0.0,0.0,,0.0
adder_n10,10.0,0.0,10.0,65.0,12.6,14.7,0.0,0.0,,
adder_n4,4.0,0.0,4.0,10.0,0.0,0.3,0.0,0.0,,
adr4_197,13.0,0.0,13.0,1498.0,1239.9,1257.9,2100.3,975.9,882.0,972.0
alu-bdd_288,7.0,2.0,5.0,38.0,22.8,24.0,15.6,9.0,,21.0
alu-v0_27,5.0,1.0,4.0,17.0,3.9,1.2,0.0,0.0,,3.0
alu-v0_27_example,5.0,1.0,4.0,17.0,3.9,4.2,0.0,0.0,,3.0
alu-v1_28,5.0,1.0,4.0,18.0,3.6,1.2,0.0,0.0,,3.0
alu-v1_29,5.0,1.0,4.0,17.0,5.1,1.8,0.0,0.0,,3.0
alu-v2_33,5.0,1.0,4.0,17.0,4.5,2.1,0.0,0.0,,3.0
alu-v3_34,5.0,1.0,4.0,24.0,4.8,4.8,0.0,0.0,,9.0
alu-v3_35,5.0,1.0,4.0,18.0,6.3,2.4,0.0,0.0,,3.0
alu-v4_37,5.0,1.0,4.0,18.0,5.7,4.8,0.0,0.0,,3.0
basis_change_n3,3.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,,
bell_n4,4.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,,
bv_n10,10.0,8.0,2.0,9.0,7.5,0.0,0.0,0.0,,9.0
cat_state_n22,22.0,20.0,2.0,21.0,,0.0,0.0,0.0,,
cat_state_n4,4.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,,
cc_n10,10.0,8.0,2.0,9.0,6.9,0.0,0.0,0.0,,9.0
cm152a_212,12.0,4.0,8.0,532.0,333.0,266.1,581.1,189.3,,180.0
cm42a_207,14.0,4.0,10.0,771.0,441.9,422.1,852.0,246.9,,366.0
cnt3-5_179,16.0,12.0,4.0,85.0,37.8,54.6,0.0,0.0,,18.0
cnt3-5_180,16.0,11.0,5.0,215.0,138.6,84.9,180.0,87.0,,102.0
co14_215,15.0,0.0,15.0,7840.0,7851.3,7822.2,13191.9,5106.9,6429.0,4737.0
cycle10_2_110,12.0,0.0,12.0,2648.0,2342.1,2341.2,3925.2,1356.9,1719.0,1536.0
dc2_222,15.0,1.0,14.0,4131.0,3710.4,3819.9,6239.4,2806.2,,2784.0
decod24-bdd_294,6.0,3.0,3.0,32.0,14.4,0.0,0.0,0.0,,12.0
decod24-v2_43,4.0,0.0,4.0,22.0,8.4,6.0,0.0,0.0,,0.0
deutsch_n2,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,
dnn_n2,2.0,0.0,2.0,42.0,0.0,0.0,0.0,0.0,,
dnn_n8,8.0,0.0,8.0,192.0,0.0,0.6,0.0,0.0,,
ex1_226,6.0,4.0,2.0,5.0,1.2,0.0,0.0,0.0,,0.0
fredkin_n3,3.0,0.0,3.0,8.0,0.9,0.0,0.0,0.0,,
ghz_state_n23,23.0,21.0,2.0,22.0,,0.0,0.0,0.0,,
graycode6_47,6.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,,0.0
grover_n2,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,
hhl_n7,7.0,0.0,7.0,196.0,25.8,24.0,32.1,18.6,,
hs4_n4,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,,
hwb9_119,10.0,0.0,10.0,90955.0,,,,,,50427.0
inc_237,16.0,2.0,14.0,4636.0,3725.7,3721.5,6694.2,2884.5,,2952.0
ising_model_10,10.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
ising_model_13,13.0,2.0,11.0,120.0,0.0,0.6,0.0,0.0,0.0,0.0
ising_model_16,16.0,5.0,11.0,150.0,0.9,1.2,0.0,0.0,0.0,0.0
ising_n10,10.0,0.0,10.0,90.0,0.3,0.0,0.0,0.0,,
ising_n26,26.0,22.0,4.0,50.0,,0.0,0.0,0.0,,
iswap_n2,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,
knn_n25,25.0,22.0,3.0,96.0,,0.0,0.0,0.0,,
linearsolver_n3,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,,
lpn_n5,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,,
mini_alu_305,10.0,4.0,6.0,77.0,43.5,41.1,57.0,12.0,,60.0
misex1_241,15.0,0.0,15.0,2100.0,1198.2,1344.9,2843.4,834.6,942.0,1065.0
mod5mils_65,5.0,2.0,3.0,16.0,5.1,0.0,0.0,0.0,,0.0
multiply_n13,13.0,4.0,9.0,43.0,23.1,23.7,27.6,20.7,,
pea_n5,5.0,0.0,5.0,42.0,4.2,4.2,3.6,3.0,,
pm1_249,14.0,4.0,10.0,771.0,423.6,413.7,852.3,227.7,,366.0
qaoa_n3,3.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,,
qaoa_n6,6.0,0.0,6.0,54.0,8.1,7.5,14.1,12.0,,
qec_en_n5,5.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,,
qft_10,10.0,0.0,10.0,90.0,38.7,36.9,45.6,28.5,36.0,39.0
qft_13,13.0,0.0,13.0,156.0,83.1,82.2,112.5,86.4,78.0,105.0
qft_16,16.0,0.0,16.0,240.0,147.9,143.7,215.7,163.2,174.0,147.0
qft_20,20.0,0.0,20.0,380.0,270.9,271.8,394.8,297.6,,423.0
qft_n4,4.0,0.0,4.0,12.0,1.2,1.5,0.0,0.0,,
qpe_n9,9.0,3.0,6.0,43.0,9.3,10.8,13.2,12.3,,
qram_n20,20.0,7.0,13.0,136.0,91.8,82.2,132.6,101.7,,
quantumwalks_n2,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,,
radd_250,13.0,1.0,12.0,1405.0,1203.9,1203.0,1981.5,928.2,840.0,897.0
rd32-v0_66,4.0,1.0,3.0,16.0,3.3,0.0,0.0,0.0,,6.0
rd32-v1_68,4.0,1.0,3.0,16.0,6.3,1.8,0.0,0.0,,6.0
rd53_138,8.0,3.0,5.0,60.0,36.9,22.2,22.2,13.5,,57.0
rd53_311,13.0,6.0,7.0,124.0,96.3,52.8,93.0,48.9,,69.0
rd73_140,10.0,5.0,5.0,104.0,69.0,49.8,53.4,24.0,,48.0
rd73_252,10.0,0.0,10.0,2319.0,2064.3,1996.8,3207.0,1448.7,1635.0,1320.0
rd84_142,15.0,8.0,7.0,154.0,118.5,72.0,120.0,43.5,,81.0
rd84_253,12.0,0.0,12.0,5960.0,5803.5,5908.2,9023.4,3589.5,3843.0,3774.0
simon_n6,6.0,3.0,3.0,14.0,0.9,0.0,0.0,0.0,,
sqn_258,10.0,0.0,10.0,4459.0,3739.8,4002.3,6338.4,2613.0,2712.0,2277.0
squar5_261,13.0,2.0,11.0,869.0,619.5,654.9,1161.3,451.5,,483.0
square_root_7,15.0,0.0,15.0,3089.0,2357.7,2327.7,4568.4,2305.8,828.0,1512.0
swap_test_n25,25.0,22.0,3.0,96.0,,6.9,0.0,0.0,,
sym6_145,7.0,0.0,7.0,1701.0,1282.2,1259.1,2059.2,846.3,786.0,606.0
sym6_316,14.0,8.0,6.0,123.0,95.4,84.0,93.0,24.0,,108.0
sym9_146,12.0,7.0,5.0,148.0,103.5,84.0,97.8,36.0,,108.0
sym9_193,11.0,0.0,11.0,15232.0,,,,,11553.0,9234.0
sys6-v0_111,10.0,4.0,6.0,98.0,73.5,47.4,79.2,30.0,,72.0
system9,12.0,5.0,7.0,150.0,114.9,96.3,133.5,60.6,,
teleportation_n3,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,,
test1,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,
test2,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0
test3,5.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,,
toffoli_n3,3.0,0.0,3.0,6.0,0.0,0.3,0.0,0.0,,
urf4_187,11.0,0.0,11.0,224028.0,,,,,,119166.0
urf5_158,9.0,0.0,9.0,71932.0,,,,,,47079.0
variational_n4,4.0,1.0,3.0,16.0,0.0,0.0,0.0,0.0,,
vqe_n4,4.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,,
wstate_n27,27.0,23.0,4.0,52.0,,3.6,0.0,0.0,,
wstate_n3,3.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,,
z4_268,11.0,1.0,10.0,1343.0,1065.3,1073.4,1767.0,792.3,801.0,651.0
xor5_254,,,,,,,,0.0,,
